node_id,質問ID,対象名称,質問内容,回答パターン,次の質問ID,診断結果,信頼度,カテゴリ,優先度,終端フラグ,terminal_case_id
NODE-4001,4001,エンジンがかからない／セルが弱い,ヘッドライトや室内灯は点灯しますか？,はい<br>いいえ,4002,,30,バッテリー,高,0,
NODE-4002,4002,エンジンがかからない／セルが弱い,バッテリー端子の汚れ・緩みが目視で分かりますか？（触らなくてOK）,はい<br>いいえ,4003,,50,バッテリー,高,0,
NODE-4003,4003,エンジンがかからない／セルが弱い,最近、長期間の放置や電装品のつけっぱなしがありましたか？,はい<br>いいえ,4004,,65,バッテリー,高,0,
NODE-4004,4004,エンジンがかからない／セルが弱い,ジャンプスタートや充電器の使用は難しい状況ですか？,はい<br>いいえ,4005,,80,バッテリー,高,0,
NODE-4005,4005,エンジンがかからない／セルが弱い,,,,岡山キャンピングカー修理サポートセンターにご連絡ください。,90,バッテリー,高,1,CASE-2001
NODE-4011,4011,数日置くとすぐバッテリーが上がる,車を半日〜数日置いただけで始動が弱くなりますか？,はい<br>いいえ,4012,,30,バッテリー,高,0,
NODE-4012,4012,数日置くとすぐバッテリーが上がる,ドラレコの駐車監視や冷蔵庫/USB機器をつけっぱなしにしていますか？,はい<br>いいえ,4013,,50,バッテリー,高,0,
NODE-4013,4013,数日置くとすぐバッテリーが上がる,室内灯やアクセサリをOFFにすると翌朝改善しますか？,はい<br>いいえ,4014,,65,バッテリー,高,0,
NODE-4014,4014,数日置くとすぐバッテリーが上がる,原因の切り分け（機器を1つずつ外す）が難しい状況ですか？,はい<br>いいえ,4015,,80,バッテリー,高,0,
NODE-4015,4015,数日置くとすぐバッテリーが上がる,,,,岡山キャンピングカー修理サポートセンターにご連絡ください。,90,バッテリー,高,1,CASE-2002
NODE-4021,4021,ライトが暗い・アイドリングで明るさが変わる,停車中と走行中でライトの明るさが大きく変わりますか？,はい<br>いいえ,4022,,30,バッテリー,高,0,
NODE-4022,4022,ライトが暗い・アイドリングで明るさが変わる,ベルト鳴きや緩みがありそうですか？,はい<br>いいえ,4023,,50,バッテリー,高,0,
NODE-4023,4023,ライトが暗い・アイドリングで明るさが変わる,端子やアース周りに汚れ/サビは見えますか？（目視のみ）,はい<br>いいえ,4024,,65,バッテリー,高,0,
NODE-4024,4024,ライトが暗い・アイドリングで明るさが変わる,清掃や締め直しよりも専門点検を希望しますか？,はい<br>いいえ,4025,,80,バッテリー,高,0,
NODE-4025,4025,ライトが暗い・アイドリングで明るさが変わる,,,,岡山キャンピングカー修理サポートセンターにご連絡ください。,90,バッテリー,高,1,CASE-2003
NODE-4031,4031,バッテリー周りが濡れている・白い粉が付く,バッテリー本体や周辺が湿っていたり白い粉が付いていますか？,はい<br>いいえ,4032,,30,バッテリー,高,0,
NODE-4032,4032,バッテリー周りが濡れている・白い粉が付く,甘い匂いがしたり、バッテリーが膨らんで見えますか？,はい<br>いいえ,4033,,50,バッテリー,高,0,
NODE-4033,4033,バッテリー周りが濡れている・白い粉が付く,目視のみで触らずに写真で記録できますか？,はい<br>いいえ,4034,,65,バッテリー,高,0,
NODE-4034,4034,バッテリー周りが濡れている・白い粉が付く,安全のため、交換前提で専門点検を希望しますか？,はい<br>いいえ,4035,,80,バッテリー,高,0,
NODE-4035,4035,バッテリー周りが濡れている・白い粉が付く,,,,岡山キャンピングカー修理サポートセンターにご連絡ください。,90,バッテリー,高,1,CASE-2004
NODE-4041,4041,寒い朝だけエンジンが重い／交換したのに弱い,寒い朝だけ始動が重い/弱いことがありますか？,はい<br>いいえ,4042,,30,バッテリー,高,0,
NODE-4042,4042,寒い朝だけエンジンが重い／交換したのに弱い,指定より小さい容量のバッテリーに替えていませんか？,はい<br>いいえ,4043,,50,バッテリー,高,0,
NODE-4043,4043,寒い朝だけエンジンが重い／交換したのに弱い,ラベルの型番/CCAを確認できますか？,はい<br>いいえ,4044,,65,バッテリー,高,0,
NODE-4044,4044,寒い朝だけエンジンが重い／交換したのに弱い,適合確認と交換を専門に任せたいですか？,はい<br>いいえ,4045,,80,バッテリー,高,0,
NODE-4045,4045,寒い朝だけエンジンが重い／交換したのに弱い,,,,岡山キャンピングカー修理サポートセンターにご連絡ください。,90,バッテリー,高,1,CASE-2005
