ノードID,質問内容,カテゴリ,開始フラグ,終端フラグ,次のノード,診断結果,修理ケース
sb_start,サブバッテリーが充電されていますか？,サブバッテリー,Yes,No,"はい:sb_q1 / いいえ:sb_end01",,
sb_q1,電圧は12V以上ありますか？,サブバッテリー,No,No,"はい:sb_q2 / いいえ:sb_end02",,
sb_q2,バッテリーが膨張していませんか？,サブバッテリー,No,No,"はい:sb_q3 / いいえ:sb_end03",,
sb_q3,残量計は正しく表示されていますか？,サブバッテリー,No,No,"はい:sb_q4 / いいえ:sb_end04",,
sb_q4,液漏れは確認できますか？,サブバッテリー,No,No,"はい:sb_q5 / いいえ:sb_end05",,
sb_q5,端子に腐食はありますか？,サブバッテリー,No,No,"はい:sb_q6 / いいえ:sb_end06",,
sb_q6,容量不足を感じますか？,サブバッテリー,No,No,"はい:sb_q7 / いいえ:sb_end07",,
sb_q7,過充電の警告は出ていますか？,サブバッテリー,No,No,"はい:sb_q8 / いいえ:sb_end08",,
sb_q8,冬季に始動困難がありますか？,サブバッテリー,No,No,"はい:sb_q9 / いいえ:sb_end09",,
sb_q9,使用開始から2年以上経過していますか？,サブバッテリー,No,No,"はい:sb_end10 / いいえ:終了",,
sb_end01,,,サブバッテリー,No,Yes,,"サブバッテリーが充電されていません → 交換推奨",CASE-0101
sb_end02,,,サブバッテリー,No,Yes,,"走行中に電圧低下 → 走行充電リレー確認",CASE-0102
sb_end03,,,サブバッテリー,No,Yes,,"バッテリー膨張 → 即交換が必要",CASE-0103
sb_end04,,,サブバッテリー,No,Yes,,"残量計誤表示 → モニター交換",CASE-0104
sb_end05,,,サブバッテリー,No,Yes,,"液漏れ → 危険のため交換・処理",CASE-0105
sb_end06,,,サブバッテリー,No,Yes,,"端子腐食 → 清掃・接点グリス塗布",CASE-0106
sb_end07,,,サブバッテリー,No,Yes,,"容量不足 → 大容量バッテリーへ交換",CASE-0107
sb_end08,,,サブバッテリー,No,Yes,,"過充電 → レギュレーター交換",CASE-0108
sb_end09,,,サブバッテリー,No,Yes,,"冬季始動困難 → バッテリーヒーター導入",CASE-0109
sb_end10,,,サブバッテリー,No,Yes,,"使用2年以上 → AGMバッテリーへ交換",CASE-0110
